,human_baseline_summaries,original_model_summaries,peft_model_summaries
1393,#Person1# teaches #Person2# to cook chicken for #Person2#'s original thought of having frozen pizza is unhealthy.,#Person1#: I'm thinking of making a frozen pizza. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person,#Person1# and #Person2# are planning to make dinner tonight. #Person1# recommends a piece for spicy chicken curry in a magadize and #Person2# will prepare it.
1394,"#Person1# asks #Person2# what for dinner and wants to cook something healthy when #Person2# suggests frozen pizza. #Person2# says #Person2# is not good at cooking, but #Person1# could teach #Person2# to make spicy chicken curry with rice.",#Person1#: I'm thinking of making a frozen pizza. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person2#: I'm not sure what to cook. #Person1#: I'm not sure what to cook. #Person,#Person1# and #Person2# are planning to make dinner tonight. #Person1# recommends a piece for spicy chicken curry in a magadize and #Person2# will prepare it.
1395,#Person2# teaches #Person1# how to use the IC phone and the coin phone to call.,#Person1#: Excuse me. I get confused. Can you tell me how to use the two phones on the booth?,#Person1# gets confused about the two phones on the booth. #Person2# shows #Person1# how to use the two phones and tells #Person1# how to use the other one.
1396,#Person2# helps #Person1# distinguish two phones on the booth and tells #Person1# how to use them.,#Person1#: Excuse me. I get confused. Can you tell me how to use the two phones on the booth?,#Person1# gets confused about the two phones on the booth. #Person2# shows #Person1# how to use the two phones and tells #Person1# how to use the other one.
1397,#Person1#'s confused about how to use two different phones. #Person2# tells #Person1# how to use them.,#Person1#: Excuse me. I get confused. Can you tell me how to use the two phones on the booth?,#Person1# gets confused about the two phones on the booth. #Person2# shows #Person1# how to use the two phones and tells #Person1# how to use the other one.
1398,"#Person2# introduces EDD's popular services to #Person1#. #Person2# tells #Person1# that EDD provided computers, job information, workshops, and job fairs.",Contact EDD for help with your job search.,"#Person1# tells #Person2# about Callous, Callous, EDD, and other special services to help #Person1# get a job. #Person2# also offers workshops to help #Person1# with #Person1#'s job search."
1399,"#Person2# offers #Person1# some information about getting a job including the available services, workshops, and useful places.",Contact EDD for help with your job search.,"#Person1# tells #Person2# about Callous, Callous, EDD, and other special services to help #Person1# get a job. #Person2# also offers workshops to help #Person1# with #Person1#'s job search."
1400,#Person1# consults #Person2# about EDD's services of seeking jobs. #Person2# tells #Person1# that EDD could provide information and workshops and #Person1# could go Job fairs for jobs.,Contact EDD for help with your job search.,"#Person1# tells #Person2# about Callous, Callous, EDD, and other special services to help #Person1# get a job. #Person2# also offers workshops to help #Person1# with #Person1#'s job search."
1401,#Person1# asks Tom for his opinion on second-hand goods and Tom suggested #Person1# being careful.,#Person1#: I'm thinking of buying a second-hand computer. #Person2#: I'm thinking of buying a second-hand car.,Tom is considering buying a second-hand computer and a car. #Person1# thinks the second-hand goods are just as good as the new ones.
1402,#Person1# asks Tom's opinion about buying a second-hand car and Tom thinks #Person1# should be careful.,#Person1#: I'm thinking of buying a second-hand computer. #Person2#: I'm thinking of buying a second-hand car.,Tom is considering buying a second-hand computer and a car. #Person1# thinks the second-hand goods are just as good as the new ones.
1403,"#Person1# asks Tom about second-hand goods because #Person1# wants to buy a second-hand computer. Tom tells #Person1# it might be good, but #Person1# needs to be careful.",#Person1#: I'm thinking of buying a second-hand computer. #Person2#: I'm thinking of buying a second-hand car.,Tom is considering buying a second-hand computer and a car. #Person1# thinks the second-hand goods are just as good as the new ones.
1404,Morgan tells #Person1# that Chinese people seldom take leftover food home and #Person1# thinks it's a waste. Morgan suggests #Person1# take the leftover pig feet home. #Person1# decides to try to do it once.,People in China usually take their leftover food home from a restaurant.,Morgan asks Morgan about the leftover food in China. Morgan thinks it's an awful waste and suggests ordering fewer dishes. Morgan thinks it's OK to take the leftovers home but Morgan thinks it's OK to take the last one home with Morgan.
1405,#Person1# asks Morgan about the food ordering tradition and thinks it's wasteful for Chinese not to take leftover home.,People in China usually take their leftover food home from a restaurant.,Morgan asks Morgan about the leftover food in China. Morgan thinks it's an awful waste and suggests ordering fewer dishes. Morgan thinks it's OK to take the leftovers home but Morgan thinks it's OK to take the last one home with Morgan.
1406,"#Person1# asks about people taking left-over food in China. Morgan tells #Person1# it's not common and explains this is a tradition. As #Person1#'s parents grew up eating pig's feet, #Person1# thinks the pig feet are OK.",People in China usually take their leftover food home from a restaurant.,Morgan asks Morgan about the leftover food in China. Morgan thinks it's an awful waste and suggests ordering fewer dishes. Morgan thinks it's OK to take the leftovers home but Morgan thinks it's OK to take the last one home with Morgan.
1407,Harry tells #Person2# that the bag was overpriced in a street market. #Person2# suggests that Harry should bargain with the seller and consult the price tags in the supermarket first.,#Person1#: I'm mad at you. I bought a bag at a market in China last Sunday. I paid one hundred and twenty dollars for it. I was told by my colleagues that I bought it overpriced.,Harry tells #Person2# he was told by his colleagues he bought a bag overpriced. Harry thinks it annoying to overcharge customers by such a handsome margin. #Person2# recommends Harry to consult the price tags in the supermarket first.
1408,#Person2# suggests Harry consult the price tags in the supermarket first and then negotiate for a fair deal after Harry bought a bag overpriced and got a terrible feeling.,#Person1#: I'm mad at you. I bought a bag at a market in China last Sunday. I paid one hundred and twenty dollars for it. I was told by my colleagues that I bought it overpriced.,Harry tells #Person2# he was told by his colleagues he bought a bag overpriced. Harry thinks it annoying to overcharge customers by such a handsome margin. #Person2# recommends Harry to consult the price tags in the supermarket first.
1409,Harry is mad because he bought a bag overpriced at a street market in China. #Person2# says it's common and people should know the real worth and then negotiate for a fair deal.,#Person1#: I'm mad at you. I bought a bag at a market in China last Sunday. I paid one hundred and twenty dollars for it. I was told by my colleagues that I bought it overpriced.,Harry tells #Person2# he was told by his colleagues he bought a bag overpriced. Harry thinks it annoying to overcharge customers by such a handsome margin. #Person2# recommends Harry to consult the price tags in the supermarket first.
1410,#Person1# asks #Person2# about #Person2#'s mastery of English and other languages.,The company requires employees to have a good command of English.,#Person1# asks #Person2# about #Person2#'s English education. #Person2# speaks French and Japanese.
1411,#Person1# makes requires about #Person2#'s English standard.,The company requires employees to have a good command of English.,#Person1# asks #Person2# about #Person2#'s English education. #Person2# speaks French and Japanese.
1412,#Person1# tells English is important in #Person1#'s company. #Person2# introduces #Person2#'s English education and other language capabilities,The company requires employees to have a good command of English.,#Person1# asks #Person2# about #Person2#'s English education. #Person2# speaks French and Japanese.
1413,"#Person1# helps #Person2# to open a new account. #Person1# answers #Person2#'s questions about the debit card, the maximum amount in an overdraft, and the penalty for having an overdraft.","#Person1#: Good morning. How can I help you? #Person2#: I'd like to open a new account. #Person1#: I've filled out an application form and I've brought some documents along. #Person2#: Yes. I'll have my assistant look over them quickly and then we'll move on to the next step. #Person1#: Yes. Both accounts come with debit cards that you can use in ATM machines, so that you won't have to come in to the bank to make a transaction. #Person2#: Yes. I'll have my assistant look over them quickly and then we'll move on to the next step. #Person1#: Yes.",#Person2# wants to open a new account. #Person1# helps #Person2# open a checking account and a savings account. #Person2# has to pay 1 % interest on the account and #Person2#'ll receive the cards and pin numbers in three weeks.
1414,#Person2# brings some documents to #Person1#'s to open up a new account with a debit card which allows for the maximum $1000 overdraft.,"#Person1#: Good morning. How can I help you? #Person2#: I'd like to open a new account. #Person1#: I've filled out an application form and I've brought some documents along. #Person2#: Yes. I'll have my assistant look over them quickly and then we'll move on to the next step. #Person1#: Yes. Both accounts come with debit cards that you can use in ATM machines, so that you won't have to come in to the bank to make a transaction. #Person2#: Yes. I'll have my assistant look over them quickly and then we'll move on to the next step. #Person1#: Yes.",#Person2# wants to open a new account. #Person1# helps #Person2# open a checking account and a savings account. #Person2# has to pay 1 % interest on the account and #Person2#'ll receive the cards and pin numbers in three weeks.
1415,"#Person2# wants to open a checking account at #Person1#'s bank. #Person1# tells #Person2# about the benefits of #Person1#'s bank. After #Person1#'s assistant looks over the documents, #Person1# tells #Person2# will receive the card and PIN in three weeks.","#Person1#: Good morning. How can I help you? #Person2#: I'd like to open a new account. #Person1#: I've filled out an application form and I've brought some documents along. #Person2#: Yes. I'll have my assistant look over them quickly and then we'll move on to the next step. #Person1#: Yes. Both accounts come with debit cards that you can use in ATM machines, so that you won't have to come in to the bank to make a transaction. #Person2#: Yes. I'll have my assistant look over them quickly and then we'll move on to the next step. #Person1#: Yes.",#Person2# wants to open a new account. #Person1# helps #Person2# open a checking account and a savings account. #Person2# has to pay 1 % interest on the account and #Person2#'ll receive the cards and pin numbers in three weeks.
1416,#Person2# answers #Person1#'s questions about getting special discount coupons and how to use them.,#Person1#: I'm looking for a special discount coupon.,#Person1# wants to get special discount coupons. #Person2# tells #Person1# the coupon can be used for 3 bags of sugar and can be used for at least one year. #Person1# will take 9 bags of sugar and get 3 coupons.
1417,#Person1# asks #Person2# about the instructions for getting and using the discount coupons.,#Person1#: I'm looking for a special discount coupon.,#Person1# wants to get special discount coupons. #Person2# tells #Person1# the coupon can be used for 3 bags of sugar and can be used for at least one year. #Person1# will take 9 bags of sugar and get 3 coupons.
1418,#Person2# tells #Person1# how to get special discount coupons and how to use them. #Person1# buys 9 bags of sugar and gets 3 coupons.,#Person1#: I'm looking for a special discount coupon.,#Person1# wants to get special discount coupons. #Person2# tells #Person1# the coupon can be used for 3 bags of sugar and can be used for at least one year. #Person1# will take 9 bags of sugar and get 3 coupons.
1419,Mrs. Robinson thanks Steve for looking after Johnny and cleaning the house.,Steve was very helpful.,Mrs. Robinson thanks Steve for looking after Johnny. Steve helped break the dishes and clean the kitchen.
1420,Steve broke all the dishes while looking after Johnny. He's leaving the house when facing Mrs. Robinson's appreciation.,Steve was very helpful.,Mrs. Robinson thanks Steve for looking after Johnny. Steve helped break the dishes and clean the kitchen.
1421,Steve helps look after Jonny and house-keeping. Mrs. Robinson appreciates it.,Steve was very helpful.,Mrs. Robinson thanks Steve for looking after Johnny. Steve helped break the dishes and clean the kitchen.
1422,"Mr. Smith asks #Person1# to help find his train ticket, but #Person1# finds out that Mr. Smith didn't have any proof of purchase. Thus Mr. Smith brings another ticket in the end.",#Person1#: I'm sorry to hear that.,#Person2# lost his train ticket and asks #Person1# to buy another ticket. #Person1# tells #Person2# that #Person2# has lost the ticket and asks #Person2# to buy another ticket. #Person2# is just 4 mao short for the hard sleeper. #Person1# will let it go.
1423,#Person1# doesn't find Mr. Smith's proof of transaction after Mr. Smith lost his train ticket. Mr. Smith successfully purchases another ticket with #Person1#'s help.,#Person1#: I'm sorry to hear that.,#Person2# lost his train ticket and asks #Person1# to buy another ticket. #Person1# tells #Person2# that #Person2# has lost the ticket and asks #Person2# to buy another ticket. #Person2# is just 4 mao short for the hard sleeper. #Person1# will let it go.
1424,Mr. Smith lost his ticket to Shanghai and couldn't provide proof of purchase. #Person1# helps to buy another soft sleepier ticket and waive some money for him.,#Person1#: I'm sorry to hear that.,#Person2# lost his train ticket and asks #Person1# to buy another ticket. #Person1# tells #Person2# that #Person2# has lost the ticket and asks #Person2# to buy another ticket. #Person2# is just 4 mao short for the hard sleeper. #Person1# will let it go.
1425,Ann recommends #Person1# to do the well-being in the air program on the way to New York. Ann introduces the program in detail and #Person1# seems interested in it.,"#Person1#: Hi, Ann. How's your trip to the States? #Person2#: Very busy. I had a lot of meetings. So, of course, I didn't have much time to see New York. #Person1#: Oh, I'm sorry. I have a trip to the States next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next week. #Person1#: Oh, I'm sorry. I have a trip to the States myself next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next week. #Person1#: Oh, I'm sorry. I have a trip to the States myself next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next",Ann tells #Person1# she has a trip to New York next week. She tells #Person1# she did the well-being in the air program and she didn't have any problems. She also tells #Person1# she didn't drink alcohol or coffee and didn't eat meat or rich food. She also did some exercises on a plane.
1426,Ann suggests #Person1# take well-being in the air programme including drinking mineral water and exercising so that #Person1# could get over jet lag.,"#Person1#: Hi, Ann. How's your trip to the States? #Person2#: Very busy. I had a lot of meetings. So, of course, I didn't have much time to see New York. #Person1#: Oh, I'm sorry. I have a trip to the States next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next week. #Person1#: Oh, I'm sorry. I have a trip to the States myself next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next week. #Person1#: Oh, I'm sorry. I have a trip to the States myself next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next",Ann tells #Person1# she has a trip to New York next week. She tells #Person1# she did the well-being in the air program and she didn't have any problems. She also tells #Person1# she didn't drink alcohol or coffee and didn't eat meat or rich food. She also did some exercises on a plane.
1427,"Ann had a business trip to the states and #Person1# will have a trip too. Ann suggests #Person1# do well-being in the air program. She did it on her flight to New York, eating light and healthy, doing exercise, and she felt good after her arrival.","#Person1#: Hi, Ann. How's your trip to the States? #Person2#: Very busy. I had a lot of meetings. So, of course, I didn't have much time to see New York. #Person1#: Oh, I'm sorry. I have a trip to the States next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next week. #Person1#: Oh, I'm sorry. I have a trip to the States myself next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next week. #Person1#: Oh, I'm sorry. I have a trip to the States myself next week. #Person2#: Oh, I'm sorry. I have a trip to the States myself next",Ann tells #Person1# she has a trip to New York next week. She tells #Person1# she did the well-being in the air program and she didn't have any problems. She also tells #Person1# she didn't drink alcohol or coffee and didn't eat meat or rich food. She also did some exercises on a plane.
1428,"Mary tells Tom that she found a job, but she still wants a different one. Tom recommends his father's company.",The construction company that Person1 works for needs a new employee for the summer.,Mary tells Tom she's found a job at McDonald's. Tom tells Mary his father's company needs some new people to work for the summer. Mary will tell Tom her father about it and then Tom can call her father.
1429,Mary is considering changing a job. Tom tells her that his father's company happens to have the hiring plan in the near future.,The construction company that Person1 works for needs a new employee for the summer.,Mary tells Tom she's found a job at McDonald's. Tom tells Mary his father's company needs some new people to work for the summer. Mary will tell Tom her father about it and then Tom can call her father.
1430,"Mary needs to work at McDonald's so she cannot go to John's party, but she wants a different job. Tom father's company offers a job and Mary is willing to try.",The construction company that Person1 works for needs a new employee for the summer.,Mary tells Tom she's found a job at McDonald's. Tom tells Mary his father's company needs some new people to work for the summer. Mary will tell Tom her father about it and then Tom can call her father.
1431,Harry tells #Person1# that he was almost hit by a car and he will be more careful next time.,The driver of the car was a pedestrian.,Harry tells #Person1# he had an accident and he jumped back in time. He says he will report the car to the police. Harry will not cross the street reading his newspaper.
1432,Harry tells #Person1# that he crossed the street while reading the newspaper and almost got hit by a car.,The driver of the car was a pedestrian.,Harry tells #Person1# he had an accident and he jumped back in time. He says he will report the car to the police. Harry will not cross the street reading his newspaper.
1433,Harry tells #Person1# he was almost hit by a car and he will be more careful next time.,The driver of the car was a pedestrian.,Harry tells #Person1# he had an accident and he jumped back in time. He says he will report the car to the police. Harry will not cross the street reading his newspaper.
1434,Mr. Kayne shares with the audience about how he took over and established his bicycle shop as a salesman and how he's running his business now.,This week's Business World program is Business World.,Mr. Steven Kayne tells #Person1# that he always loved racing bikes and fixing them. He decided to run his own store when he had enough money to get his own business going. He has hired some friends to help him out a few days a week.
1435,Mr. Steven Kayne is invited to share his experience of establishing a bicycle shop by a business program.,This week's Business World program is Business World.,Mr. Steven Kayne tells #Person1# that he always loved racing bikes and fixing them. He decided to run his own store when he had enough money to get his own business going. He has hired some friends to help him out a few days a week.
1436,#Person1# interviews Mr. Kayne why he ran a bicycle shop. He says he loves it to be his own boss. His friends helped him and they could play when there were no customers.,This week's Business World program is Business World.,Mr. Steven Kayne tells #Person1# that he always loved racing bikes and fixing them. He decided to run his own store when he had enough money to get his own business going. He has hired some friends to help him out a few days a week.
1437,A couple is arguing about whether they are middle-aged. #Person1# thinks they are middle-aged but #Person2# disagrees.,#Person1: They are a nice middle-aged couple. #Person2: They are.,Ethel and Ethel are talking about middle-aged people. Ethel is old and Ethel is aging. Ethel will spend the rest of the afternoon squabbling about this.
1438,#Person2# disagrees with #Person1# on the definition of middle age.,#Person1: They are a nice middle-aged couple. #Person2: They are.,Ethel and Ethel are talking about middle-aged people. Ethel is old and Ethel is aging. Ethel will spend the rest of the afternoon squabbling about this.
1439,#Person1# thinks #Person1# and #Person2# are a middle-aged couple. #Person2# doesn't agree and they argue about it.,#Person1: They are a nice middle-aged couple. #Person2: They are.,Ethel and Ethel are talking about middle-aged people. Ethel is old and Ethel is aging. Ethel will spend the rest of the afternoon squabbling about this.
1440,"#Person2# orders the apple crisp, chocolate mousse cake and tea. #Person2# will share with #Person2#'s friends.","#Person1#: Our meal was perfect! #Person2#: We would like to split something with my friends. #Person1#: We have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2#: We would like to split a second one. #Person1#: We would like to have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2#: We would like to have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person1#: We are all tea drinkers. Please bring us four teas. #Person2#: We will prepare your desserts and bring you your drinks right away.","#Person2# wants to split something with #Person2#'s friends. #Person1# recommends chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2# also wants a piece of chocolate mousse cake and four dessert forks. #Person1# will prepare the desserts and bring #Person2#'s drinks right away."
1441,#Person2# orders some desserts and tea after a perfect meal and #Person2# will share with friends..,"#Person1#: Our meal was perfect! #Person2#: We would like to split something with my friends. #Person1#: We have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2#: We would like to split a second one. #Person1#: We would like to have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2#: We would like to have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person1#: We are all tea drinkers. Please bring us four teas. #Person2#: We will prepare your desserts and bring you your drinks right away.","#Person2# wants to split something with #Person2#'s friends. #Person1# recommends chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2# also wants a piece of chocolate mousse cake and four dessert forks. #Person1# will prepare the desserts and bring #Person2#'s drinks right away."
1442,#Person2# thinks #Person2#'s meal as perfect and orders dessert and tea to share with friends.,"#Person1#: Our meal was perfect! #Person2#: We would like to split something with my friends. #Person1#: We have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2#: We would like to split a second one. #Person1#: We would like to have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2#: We would like to have chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person1#: We are all tea drinkers. Please bring us four teas. #Person2#: We will prepare your desserts and bring you your drinks right away.","#Person2# wants to split something with #Person2#'s friends. #Person1# recommends chocolate mousse cake, homemade fresh strawberry shortcake, and a spicy rum apple crisp. #Person2# also wants a piece of chocolate mousse cake and four dessert forks. #Person1# will prepare the desserts and bring #Person2#'s drinks right away."
1443,#Person1# and #Person2# flip a coin to decide which one should get the bottom bunk and #Person2# wins. They negotiate the setting of other things and #Person1# gets the desk by the window. They start to unpack.,The two of them will have a plan.,"#Person1# and Dave are going to have a plan. They decide to have a plan and decide on the bed, stereos, and desks. Dave will help #Person1# unpack the boxes and then they will start unpacking."
1444,#Person1# and #Person2# initiate a plan to divide the furniture in the room. #Person1# takes the bottom bunk by flipping a coin whereas #Person1# takes the better stereos and the nicer desk.,The two of them will have a plan.,"#Person1# and Dave are going to have a plan. They decide to have a plan and decide on the bed, stereos, and desks. Dave will help #Person1# unpack the boxes and then they will start unpacking."
1445,#Person2# has the bottom bunk by winning the coin flip with #Person1#. They decide to use #Person1#'s stereos because it's better. #Person1# has the desk by the window for it's fair. #Person1# will go out for food and come back to unpack after #Person2# has done.,The two of them will have a plan.,"#Person1# and Dave are going to have a plan. They decide to have a plan and decide on the bed, stereos, and desks. Dave will help #Person1# unpack the boxes and then they will start unpacking."
1446,#Person2# helps Mr. Murray get a library card and reminds him of library rules.,#Person1#: Excuse me. I'm interested in joining the library.,Mr. Murray wants to get a library card. #Person2# gives him an application and gives him a look at the card. Mr. Murray is satisfied with the card and the handout.
1447,Mr. Murray has a library card after filling out the application and checked license by #Person2#.,#Person1#: Excuse me. I'm interested in joining the library.,Mr. Murray wants to get a library card. #Person2# gives him an application and gives him a look at the card. Mr. Murray is satisfied with the card and the handout.
1448,Mr. Murray wants a library card. #Person2# issues one to him after checking his application and driver license.,#Person1#: Excuse me. I'm interested in joining the library.,Mr. Murray wants to get a library card. #Person2# gives him an application and gives him a look at the card. Mr. Murray is satisfied with the card and the handout.
1449,"#Person1# and #Person2# talk about working days. #Person2# has lunch breaks and doesn't mind cubicles, but #Person1# doesn't have coffee breaks and doesn't like cubicles.",#Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour.,#Person2# tells #Person1# #Person2#'s working day is a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person2# has a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person2# has a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person1# doesn't like it very much.
1450,"#Person2# describes how the working days are like, including the working hours and working contents, to #Person1#.",#Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour.,#Person2# tells #Person1# #Person2#'s working day is a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person2# has a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person2# has a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person1# doesn't like it very much.
1451,#Person2# has a typical 9 to 5 job and gets a bonus each month if #Person2# works overtime. #Person2#'s boss doesn't mind coffee break but #Person1#'s boss does. They both work in a cubicle.,#Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour. #Person1#: How long does it take you to work? #Person2#: About an hour.,#Person2# tells #Person1# #Person2#'s working day is a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person2# has a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person2# has a typical 9 to 5 job. #Person2# has a typical 9 to 5 job and #Person1# doesn't like it very much.
1452,"Nick asks Alice how to use washing machines and dryers. Alice teaches him and she's surprised to find that he never washed clothes before. Nick tells her he is from Taiwan, where the mother does everything for the kids. Alice will help Nick to learn how to live on his own.",The washing machine is in the vending machine.,Alice tells Nick she has never washed clothes before and she has never washed clothes before. Nick tells Alice she has to learn how to use the machines and Alice will help her learn how to use them.
1453,Nick is new here and he has never done washing himself. So he asks a girl called Alice for help. Alice's surprised but still teaches him how to use the machines. Nick tells her his mother used to do everything for him.,The washing machine is in the vending machine.,Alice tells Nick she has never washed clothes before and she has never washed clothes before. Nick tells Alice she has to learn how to use the machines and Alice will help her learn how to use them.
1454,"Nick has never used washing machines before, and he turns to a girl for help. Nick appreciates Alice's help and tells her his mother used to do washing for him. Alice will help him be more independent.",The washing machine is in the vending machine.,Alice tells Nick she has never washed clothes before and she has never washed clothes before. Nick tells Alice she has to learn how to use the machines and Alice will help her learn how to use them.
1455,#Person1# and #Person2# ask about each other's recent situation.,Person1 is busy.,#Person1# and #Person2# are busy. #Person1# calls #Person2# to check #Person2#'s status.
1456,#Person1# asks about the things that took up #Person2#.,Person1 is busy.,#Person1# and #Person2# are busy. #Person1# calls #Person2# to check #Person2#'s status.
1457,#Person1# is busy while #Person2# is flexible.,Person1 is busy.,#Person1# and #Person2# are busy. #Person1# calls #Person2# to check #Person2#'s status.
1458,#Person1# tells Katie about her evaluation and expresses expectations for Katie's future work.,#Person1#: I've been looking at your evaluation.,"Katie has improved in some areas. #Person1# asks her to polish the jewelry and the mirrors, put new paper in the cash register, restock the boxes and do other things without being asked."
1459,#Person1# reviews Katie's working evaluation and comes up with new requirements for #Person2#.,#Person1#: I've been looking at your evaluation.,"Katie has improved in some areas. #Person1# asks her to polish the jewelry and the mirrors, put new paper in the cash register, restock the boxes and do other things without being asked."
1460,#Person2# talks about Katie's evaluation and wants Katie to do better when she doesn't have customers.,#Person1#: I've been looking at your evaluation.,"Katie has improved in some areas. #Person1# asks her to polish the jewelry and the mirrors, put new paper in the cash register, restock the boxes and do other things without being asked."
1461,#Person1# and #Person2# discuss grandpa's birthday. They decide on where and when to hold the party and what food and gift to prepare.,#Person1#: It's grandpa's birthday next week. They're going to have a surprise party.,#Person1# and #Person2# are planning a surprise party for grandpa's birthday next week. They decide to have it at their house on Saturday.
1462,#Person1# and #Person2# are planning a surprise party for grandpa's birthday and talk about what presents they should get him.,#Person1#: It's grandpa's birthday next week. They're going to have a surprise party.,#Person1# and #Person2# are planning a surprise party for grandpa's birthday next week. They decide to have it at their house on Saturday.
1463,"It's #Person1# and #Person2#'s grandpa's birthday next week. #Person1# and #Person2# decide to have a party with jazz, pizza at their house. #Person1# and grandma will make food. #Person2# will get him a book. The party will be on Saturday.",#Person1#: It's grandpa's birthday next week. They're going to have a surprise party.,#Person1# and #Person2# are planning a surprise party for grandpa's birthday next week. They decide to have it at their house on Saturday.
1464,Gian and Gina introduce themselves to each other. Gian introduces Gina to Robert.,"#Person1#: Hello, Robert.",Gina and Gian Luca Donatelli are talking about their work and their friend works for an Italian service provider. Gina introduces Gian Luca Donatelli to Robert.
1465,Gian and Gina introduce themselves to each other and Gian introduces the friend Robert to Gina.,"#Person1#: Hello, Robert.",Gina and Gian Luca Donatelli are talking about their work and their friend works for an Italian service provider. Gina introduces Gian Luca Donatelli to Robert.
1466,Gian tells Gina she is a self-employed journalist and introduces Robert to Gina.,"#Person1#: Hello, Robert.",Gina and Gian Luca Donatelli are talking about their work and their friend works for an Italian service provider. Gina introduces Gian Luca Donatelli to Robert.
1467,Kathy complains about the noise and #Person2# explains it's because it's the year of the 17-year bird calls. Then they discuss where the birds live.,The birds are a noisy nuisance in the North Carolina Mountains.,Kathy tells #Person1# the countryside is noisy because of the 17-year bird calls. Kathy tells #Person1# they live near the mountains for most of their lives and they sing and do their special dances in the trees. Kathy thinks it's terrible because there's probably bird waste everywhere.
1468,Kathy thinks the countryside in the North Carolina Mountains is so noisy as birds come out at this period and #Person2# only hears those birds when #Person2# was in Atlanta,The birds are a noisy nuisance in the North Carolina Mountains.,Kathy tells #Person1# the countryside is noisy because of the 17-year bird calls. Kathy tells #Person1# they live near the mountains for most of their lives and they sing and do their special dances in the trees. Kathy thinks it's terrible because there's probably bird waste everywhere.
1469,Kathy is annoyed at the noise of bird calls. The birds only come out when it is cool and live in trees mostly. They are not in cities and maybe just in the East.,The birds are a noisy nuisance in the North Carolina Mountains.,Kathy tells #Person1# the countryside is noisy because of the 17-year bird calls. Kathy tells #Person1# they live near the mountains for most of their lives and they sing and do their special dances in the trees. Kathy thinks it's terrible because there's probably bird waste everywhere.
